The following is a sample of the 20,000 lemma list from the 1900s portion of the 100 million word Corpus del Español
(www.corpusdelespanol.org). This is the only large, tagged and lemmatized corpus of Spanish.

This sample list shows every tenth word in the list, with its rank order number (1-20,000), frequency, and part of speech.
It is also possible to purchase lists that show the frequency of each word form (e.g. salgo, saliste, salieran, etc)
for each of the 20,000 lemmas, as well as the frequency of each lemma in each of the five major genres
(spoken, fiction, newspaper, and academic).

For more information on this and other frequency lists, please go to http://www.wordfrequency.info, 
or contact us (word_frequency@byu.edu).


ID	freq	lemma	PoS
----	----	----	----

1	1173068	el	l
11	209116	no	r
21	86998	más	r
31	51685	ese	d
41	33206	entre	e
51	26319	hasta	e
61	21510	deber	v
71	18246	pues	c
81	16175	sólo	r
91	15136	poner	v
101	14131	siglo	n
111	12925	llamar	v
121	12251	mayor	j
131	11529	nacional	j
141	10637	político	j
151	10209	millón	n
161	9710	preguntar	v
171	8983	hora	n
181	8394	trabajar	v
191	8077	pequeño	j
201	7810	según	e
211	7483	presentar	v
221	7189	comenzar	v
231	6788	dentro	e
241	6491	música	n
251	6364	crear	v
261	6241	principio	n
271	5968	mil	m
281	5868	sobre	c
291	5717	junto	j
301	5515	movimiento	n
311	5365	luz	n
321	5188	mayoría	n
331	4981	ocurrir	v
341	4836	sacar	v
351	4708	leer	v
361	4614	fondo	n
371	4476	hermano	n
381	4377	mostrar	v
391	4258	producción	n
401	4093	teatro	n
411	4035	real	j
421	3960	tanto	d
431	3912	correr	v
441	3845	tarde	r
451	3761	área	n
461	3700	autor	n
471	3596	capital	n
481	3569	estilo	n
491	3514	resto	n
501	3425	sol	n
511	3362	espacio	n
521	3303	diverso	j
531	3248	necesidad	n
541	3183	falta	n
551	3117	presencia	n
561	3076	enfermedad	n
571	3023	surgir	v
581	2982	esfuerzo	n
591	2941	jefe	n
601	2910	influencia	n
611	2861	cuestión	n
621	2826	favor	n
631	2785	oficial	j
641	2748	alemán	j
651	2712	medir	v
661	2672	ocho	m
671	2616	silencio	n
681	2581	reunión	n
691	2553	ii	n
701	2520	físico	j
711	2482	informar	v
721	2452	corazón	n
731	2412	imponer	v
741	2394	vos	p
751	2364	crisis	n
761	2343	organismo	n
771	2310	salud	n
781	2291	objetivo	n
791	2258	rostro	n
801	2232	basar	v
811	2186	orquesta	n
821	2160	junio	n
831	2143	piel	n
841	2112	romper	v
851	2092	funcionario	n
861	2077	preferir	v
871	2049	pertenecer	v
881	2029	distancia	n
891	2009	jamás	r
901	1991	visita	n
911	1972	quizás	r
921	1952	ex	j
931	1937	altura	n
941	1911	mañana	r
951	1899	diciembre	n
961	1879	cuento	n
971	1849	determinar	v
981	1835	consistir	v
991	1822	advertir	v
1001	1813	sombra	n
1011	1795	entrada	n
1021	1783	totalmente	r
1031	1762	marcar	v
1041	1739	departamento	n
1051	1720	etapa	n
1061	1704	par	n
1071	1694	barco	n
1081	1687	ingreso	n
1091	1675	rechazar	v
1101	1658	demanda	n
1111	1641	diputado	n
1121	1625	actualmente	r
1131	1613	conversación	n
1141	1600	caber	v
1151	1588	esposa	n
1161	1570	americano	j
1171	1563	mencionar	v
1181	1550	vecino	n
1191	1536	argentino	j
1201	1527	gusto	n
